state_pcode,state_name,county_pcode,county_name,Displacement site ,Host community,Total
SS05,Northern Bahr el Ghazal,SS0502,Aweil East,," 5,112 "," 5,112 "
SS05,Northern Bahr el Ghazal,SS0503,Aweil North,," 2,484 "," 2,484 "
SS05,Northern Bahr el Ghazal,SS0504,Aweil South,," 9,503 "," 9,503 "
SS05,Northern Bahr el Ghazal,SS0505,Aweil West, 128 ," 33,775 "," 33,903 "
SS06,Unity,SS0601,Abiemnhom,," 14,625 "," 14,625 "
SS06,Unity,SS0602,Guit, 150 , -   , 150 
SS06,Unity,SS0603,Koch,," 2,479 "," 2,479 "
SS06,Unity,SS0604,Leer," 2,643 "," 1,686 "," 4,329 "
SS06,Unity,SS0605,Mayiendit,," 4,490 "," 4,490 "
SS06,Unity,SS0606,Mayom,," 15,840 "," 15,840 "
SS06,Unity,SS0607,Panyijar, 637 ," 13,482 "," 14,119 "
SS06,Unity,SS0608,Pariang (Ruweng),," 17,890 "," 17,890 "
SS06,Unity,SS0609,Rubkona," 105,997 "," 16,747 "," 122,744 "
SS07,Upper Nile,SS0701,Baliet," 1,322 "," 3,531 "," 4,853 "
SS07,Upper Nile,SS0702,Fashoda," 7,190 "," 11,472 "," 18,662 "
SS07,Upper Nile,SS0703,Longochuk,," 8,309 "," 8,309 "
SS07,Upper Nile,SS0704,Luakpiny (Nasir),," 13,258 "," 13,258 "
SS07,Upper Nile,SS0705,Maban," 2,476 "," 40,333 "," 42,809 "
SS07,Upper Nile,SS0706,Maiwut,," 11,217 "," 11,217 "
SS07,Upper Nile,SS0707,Malakal," 28,530 "," 9,644 "," 38,174 "
SS07,Upper Nile,SS0708,Manyo,," 6,752 "," 6,752 "
SS07,Upper Nile,SS0709,Melut," 26,344 "," 1,359 "," 27,703 "
SS07,Upper Nile,SS0710,Panyikang," 1,207 "," 5,288 "," 6,495 "
SS07,Upper Nile,SS0711,Renk," 3,879 "," 12,173 "," 16,052 "
SS07,Upper Nile,SS0712,Ulang,," 24,728 "," 24,728 "
SS08,Warrap,SS0801,Gogrial East,," 20,915 "," 20,915 "
SS08,Warrap,SS0802,Gogrial West,," 40,724 "," 40,724 "
SS08,Warrap,SS0803,Tonj East,," 45,063 "," 45,063 "
SS08,Warrap,SS0804,Tonj North,," 87,394 "," 87,394 "
SS08,Warrap,SS0805,Tonj South," 4,810 "," 60,706 "," 65,516 "
SS08,Warrap,SS0806,Twic," 6,994 "," 20,749 "," 27,743 "
SS09,Western Bahr el Ghazal,SS0901,Jur River, 849 ," 11,156 "," 12,005 "
SS09,Western Bahr el Ghazal,SS0902,Raja,," 14,326 "," 14,326 "
SS09,Western Bahr el Ghazal,SS0903,Wau," 15,781 "," 21,984 "," 37,765 "
SS10,Western Equatoria,SS1001,Ezo,," 2,586 "," 2,586 "
SS10,Western Equatoria,SS1002,Ibba," 3,490 "," 5,390 "," 8,880 "
SS10,Western Equatoria,SS1003,Maridi,," 14,679 "," 14,679 "
SS10,Western Equatoria,SS1004,Mundri East," 2,119 "," 19,211 "," 21,330 "
SS10,Western Equatoria,SS1005,Mundri West," 3,450 ", 722 ," 4,172 "
SS10,Western Equatoria,SS1006,Mvolo,," 3,508 "," 3,508 "
SS10,Western Equatoria,SS1007,Nagero,, 113 , 113 
SS10,Western Equatoria,SS1008,Nzara," 3,008 "," 2,297 "," 5,305 "
SS10,Western Equatoria,SS1009,Tambura, 188 ," 5,423 "," 5,611 "
SS10,Western Equatoria,SS1010,Yambio," 1,715 ", 725 ," 2,440 "
Total,,,," 374,845 "," 1,240,920 "," 1,615,765 "
,,,,23%,77%,
