data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8394724,728,SSD7790,7790,19-Jul-21,2021,1,Violence against civilians,Attack,Nuer Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Civilians (South Sudan),Agar Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Pastoralists (South Sudan),7,47,Eastern Africa,South Sudan,Lakes,Rumbek Center,Amongpiny,Powing,6.9844,29.9703,2,Eye Radio (South Sudan),National,"On 19 July 2021, cattle raiders from Panyijiar county (and likely to be Dor and/or Nyong Nuer) attacked Maajok village in Rumbek Centre county (Lakes state; note the location is implied to be in Amongpiny payam, and has been coded to Powing at GP2). At least 7 people were killed and an unknown number wounded; there is no information regarding cattle that may have been stolen. All victims presumed to be Agar Dinka.",7,1627328512,SSD
8394539,728,SSD7781,7781,18-Jul-21,2021,2,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Tambura,Tambura,5.6056,27.4716,1,Radio Tamazuj; Eye Radio (South Sudan); Juba Monitor,National-Regional,"Around 18 July 2021 (weekend of), unknown attackers stormed Tambura town (Tambura county, Western Equatoria state), attacking the residence of the Paramount Chief of Tambura; burning dwellings; and looting property. One report suggests homes were burned with people still inside them. At least one person is confirmed to have been killed and five wounded, with hundreds displaced from the surrounding area. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. One individual - who is accused of masterminding the violence - has been arrested whilst transporting weapons.",1,1627328512,SSD
8394891,728,SSD7779,7779,18-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Communal Militia (South Sudan),,4,Civilians (South Sudan),Women (South Sudan); Gawaar Clan Group (South Sudan); Nuer Ethnic Group (South Sudan),7,47,Eastern Africa,South Sudan,Jonglei,Ayod,Pajiek,Fankur,8.1264,31.3439,2,Radio Tamazuj,Regional,"On 18 July 2021, unknown militiamen attacked and wounded a woman with a spear and abducted her two children at a western area close to Ayod town (Ayod county, Jonglei state) [coded to Fankur]. All victims presumed to be Gawaar Nuer.",0,1627328513,SSD
8394936,728,SSD7780,7780,18-Jul-21,2021,1,Violence against civilians,Attack,Police Forces of South Sudan (2011-) National Security Service,,1,Civilians (South Sudan),SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition; Nuer Ethnic Group (South Sudan),7,17,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8551,31.5799,1,Sudans Post,National,"On 18 July 2021, NSS personnel were alleged to have arrested an SPLM-IO politician from Koch county (presumed to be Nuer, though of an unknown clan) in Juba (Juba county, Central Equatoria state), in what the family of the detained say is a case of mistaken identity (the arrested reportedly shares the same name as an individual close to the dissident Maj. Gen. Stephen Buay). The family say the politician has been severely beaten whilst in detention.",0,1627328513,SSD
8403982,728,SSD7797,7797,16-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Taxi Drivers (South Sudan),7,37,Eastern Africa,South Sudan,Eastern Equatoria,Ikotos,Losite,Lonyori,3.8166,33.3996,2,Radio Tamazuj,Regional,"On 16 July 2021, unknown attackers killed a boda boda driver during an ambush at an unspecified location along the road between Tseretenya and Losite in Ikotos county (Eastern Equatoria state) [coded to Lonyori]. There is no further information.",1,1627934659,SSD
8386368,728,SSD7776,7776,16-Jul-21,2021,2,Violence against civilians,Attack,Beek-Haak Sub-Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan),4,Civilians (South Sudan),Teachers (South Sudan); Beek-Haak Sub-Clan Group (South Sudan); Nuer Ethnic Group (South Sudan),7,47,Eastern Africa,South Sudan,Unity,Mayendit,Thaker,Thaker,8.3938,30.0488,1,Radio Tamazuj,Regional,"Around 16 July 2021 (as reported), a teacher (presumed to be of the Beek section of the Haak Nuer) was executed at the school he taught at in Thaker (Mayendit county, Unity state), in what is described as a revenge killing linked to inter-sectional fighting between two Beek sub-sections on 13 July. The attackers are coded here as militia from the Beek section of the Haak Nuer.",1,1626727060,SSD
8394537,728,SSD7774,7774,15-Jul-21,2021,1,Strategic developments,Looting/property destruction,Bul Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan),4,Civilians (South Sudan),WFP: World Food Programme; Aid Workers (South Sudan),7,47,Eastern Africa,South Sudan,Unity,Abiemnhom,Abiemnhom,Abiemnom,9.3987,28.8234,2,Eye Radio (South Sudan); Radio Tamazuj,National-Regional,"Looting: On 15 July 2021, attackers (presumed to be Bul Nuer militia) intercepted a World Food Programme convoy of 11 trucks carrying relief aid to Kuajok in between the areas of Oila and Ariel in Abiemnhom county (Unity state) [coded to Abiemnom]. The attackers beat the drivers (allegedly with thorns), and stole smart phones and 36,000 USD. It is believed the stolen goods entered Bul Nuer-inhabited Mayom county after being looted.",0,1627328512,SSD
8394538,728,SSD7778,7778,15-Jul-21,2021,1,Violence against civilians,Attack,Military Forces of South Sudan (2011-),,1,Civilians (Uganda),Labour Group (Uganda),7,17,Eastern Africa,South Sudan,Central Equatoria,Juba,Lokiliri,Nesitu,4.6917,31.7042,2,Chimp Reports; Independent (Uganda),Regional,"On 15 July 2021, two Ugandan truck drivers were killed and another injured after being fired upon by men in SSPDF uniform (and coded as such) at a checkpoint at or near Nesitu (Juba county, Central Equatoria state).",2,1627328512,SSD
8385852,728,SSD7775,7775,15-Jul-21,2021,1,Riots,Violent demonstration,Rioters (South Sudan),Students (South Sudan),5,,,0,50,Eastern Africa,South Sudan,Jonglei,Bor South,Bor,Bor,6.2089,31.5586,1,Radio Tamazuj; Juba Monitor,National-Regional,"On 15 July 2021, hundreds of students demonstrated once again in Bor town (Bor South county, Jonglei state) at the continued closure of the Dr John Garang University of Science and Technology, barricading the main road to the airport. [size=hundreds]",0,1626727059,SSD
8386367,728,SSD7773,7773,14-Jul-21,2021,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Ruweng Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4,34,Eastern Africa,South Sudan,Unity,Abiemnhom,Pangok,Teliach,9.3699,28.8972,2,Radio Tamazuj,Regional,"On 14 July 2021, an unknown group killed two civilians at a farm and at a forested area in eastern Abiemnhom county (Unity state) [presumed to be in the southern area of the county, and coded to Teliach]. Local youth (presumed to be a Ruweng Dinka militia) pursued the attackers, but were ambushed, with one of the youth being shot dead and another (who is also a local government official) wounded.",3,1626727060,SSD
8386364,728,SSD7772,7772,13-Jul-21,2021,1,Violence against civilians,Attack,Agar Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4,Civilians (South Sudan),,7,47,Eastern Africa,South Sudan,Lakes,Yirol West,Aluak-Luak,Pultit,6.4895,30.0827,1,Radio Tamazuj,Regional,"On 13 July 2021, armed men (suspected of coming from Rumbek East, and coded as Agar Dinka) ambushed a vehicle travelling to Mapuordit at Pulthib (presumed to be an alternate spelling of Pultit) in Yirol West county (Lakes state), killing two and wounding one. There is no clear motive for the attack.",2,1626727060,SSD
8386369,728,SSD7770,7770,13-Jul-21,2021,1,Battles,Armed clash,Beek-Chamdol-Haak Sub-Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan),4,Beek-Chamachot-Haak Sub-Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan),4,44,Eastern Africa,South Sudan,Unity,Mayendit,Bor,Mayendit,8.1356,30.0045,2,Radio Tamazuj,Regional,"On 13 July 2021, inter-sectional fighting took place at an unspecified location in Mayendit county (Unity state) [coded to the county HQ of Mayendit] between the Chamdol and Chamachot sub-sections of the Beek section of the Haak Nuer, killing two. The cause of the fighting is not specified.",2,1626727060,SSD
8386370,728,SSD7771,7771,13-Jul-21,2021,1,Violence against civilians,Attack,Agar Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),4,Civilians (South Sudan),Atuot Ethnic Group (South Sudan); Pastoralists (South Sudan),7,47,Eastern Africa,South Sudan,Lakes,Yirol West,Ger,Mayom Cuei,6.4188,30.1067,1,Radio Tamazuj,Regional,"On 13 July 2021, armed cattle raiders (suspected of coming from Rumbek East, and coded as Agar Dinka) killed a pastoralist (presumed to be Atuot) at Mayom Cuei (Yirol West county, Lakes state), and stole an unspecified number of cattle from the victim.",1,1626727060,SSD
8385851,728,SSD7769,7769,12-Jul-21,2021,1,Violence against civilians,Attack,Luach-Jang Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),4,Civilians (South Sudan),Akop-Lou Paher Rek Clan Group (South Sudan); Dinka Ethnic Group (South Sudan),7,47,Eastern Africa,South Sudan,Warrap,Tonj North,Marial-Lou,Marial-Lou,8.0336,29.183,1,UNOCHA; Radio Tamazuj; VOA,Other-Regional,"On 12 July 2021, Luach-Jang Dinka militia were reported to have entered Marial-Lou town (Tonj North county, Warrap state), torching dwellings, the market hospital of the town, and a school. The attack follows intense fighting near the town around 9 July. There is no information on casualties or fatalities, and there is no mention of an exchange of fire.",0,1626727059,SSD
8386366,728,SSD7768,7768,11-Jul-21,2021,1,Battles,Armed clash,Lotuko Ethnic Milita (South Sudan),,4,Military Forces of South Sudan (2011-),,1,14,Eastern Africa,South Sudan,Eastern Equatoria,Torit,Hiyala,Hiyala,4.4612,32.8713,1,Radio Tamazuj,Regional,"On 11 July 2021, three armed men (suspected of being cattle rustlers from Haforiere village, and coded as Lotuko militia) killed a Ugandan charcoal burner near Hiyala village (Torit county, Eastern Equatoria state) after he witnessed them moving suspiciously. SSPDF then engaged the armed men in a firefight, with one SSPDF soldier wounded in the leg during the exchange.",1,1626727060,SSD
8385849,728,SSD7764,7764,9-Jul-21,2021,2,Battles,Armed clash,Akop-Lou Paher Rek Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),4,Luach-Jang Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),4,44,Eastern Africa,South Sudan,Warrap,Tonj North,Marial-Lou,Marial-Lou,8.0336,29.183,2,Eye Radio (South Sudan); VOA; Radio Tamazuj; Twitter,New media-National,"Around 9 July 2021, clashes between the Lou Paher subsection of the Akop section of the Rek Dinka and the Luach-Jang Dinka clan occurred at Nyuol close to Marial-Lou town in Tonj North county (Warrap state), killing 14 and wounding 29. Houses were torched and aid was reported to have been looted, whilst hundreds have been displaced.",14,1626727059,SSD
8385850,728,SSD7767,7767,8-Jul-21,2021,1,Strategic developments,Looting/property destruction,Akop-Lou Paher Rek Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),4,Civilians (South Sudan),Luach-Jang Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Pastoralists (South Sudan),7,47,Eastern Africa,South Sudan,Warrap,Tonj East,Pannhial,Amunguk,8.0163,29.232,2,Eye Radio (South Sudan); Radio Tamazuj; VOA,National-Regional,"Looting: On 8 July 2021, cattle raiders from the Lou Paher subsection of the Akop section of the Rek Dinka stole an unspecified number of cattle from the Luach-Jang Dinka clan at Lang Abyei in Tonj East county (Warrap state) [presumed to be close to the boundary with Tonj North county, and coded to Amunguk]. There do not appear to have been casualties or fatalities resulting from the raid.",0,1626727059,SSD
8376303,728,SSD7763,7763,7-Jul-21,2021,1,Violence against civilians,Attack,Atuot Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Civilians (South Sudan),Agar Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Pastoralists (South Sudan),7,47,Eastern Africa,South Sudan,Lakes,Rumbek East,Akot,Akot,6.5495,30.0277,2,Juba Monitor,National,"On 7 July 2021, cattle raiders from Aluak-luak (presumed to be Atuot) attacked an unspecified location in Akot payam of Rumbek East county (Lakes state), killing 2 and wounding 3 (all victims presumed to be Agar Dinka). Between 23 and 42 head of cattle were stolen.",2,1626118833,SSD
8385848,728,SSD7762,7762,6-Jul-21,2021,2,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),Malual Clan Group (South Sudan); Dinka Ethnic Group (South Sudan),7,17,Eastern Africa,South Sudan,Northern Bahr el Ghazal,Aweil East,Madhol,Daang,8.8201,27.7401,2,Radio Miraya; Radio Tamazuj,National-Regional,"Around 6 July 2021 (as reported), five children (presumed to be Malual Dinka) were wounded when an unexploded grenade they were playing with detonated at a river near Dang Juong village along the Aweil East and Aweil South county borders (presumed to be an alternate spelling of Daang, Aweil East county, Northern Bahr el Ghazal state). The grenade had been left by SSPDF soldiers whilst they bathed in the river. Three of the children were treated at hospital.",0,1626727059,SSD
8376455,728,SSD7760,7760,6-Jul-21,2021,1,Violence against civilians,Attack,Gok Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4,Civilians (South Sudan),Gok Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Teachers (South Sudan); Health Workers (South Sudan),7,47,Eastern Africa,South Sudan,Lakes,Cueibet,Ngap,Aciminti,6.9408,29.229,2,Radio Tamazuj,Regional,"On 6 July 2021, a teacher (who also worked at the local hospital, and is presumed to be Gok Dinka) was shot by unknown attackers (presumed to be Gok Dinka) in a suspected revenge killing at an unspecified location along the road between Cueibet town and Agangrial (Cueibet county, Lakes state) [coded to Aciminti]. The victim died of his wounds the following day.",1,1626118833,SSD
8376304,728,SSD7761,7761,6-Jul-21,2021,1,Strategic developments,Looting/property destruction,Pakam-Agar Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),4,Civilians (South Sudan),Atuot Ethnic Group (South Sudan); Pastoralists (South Sudan),7,47,Eastern Africa,South Sudan,Lakes,Yirol West,Anuol,Anuol,6.2581,30.3826,2,Juba Monitor,National,"Looting: On 6 July 2021, cattle raiders (suspected of being from the Pakam section of the Agar Dinka, and coded as such) raided 47 head of cattle from Atuot-inhabited Anuol payam in Yirol West county (Lakes state). No injuries have been reported, and the cattle were later recovered.",0,1626118833,SSD
8376104,728,SSD7759,7759,5-Jul-21,2021,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SS-UF: South Sudan-United Front,,2,12,Eastern Africa,South Sudan,Unity,Mayom,Kuerbuone,Mayom,9.2264,29.1671,2,Radio Tamazuj; Sudans Post,National-Regional,"On 5 July 2021, soldiers (presumed to be SSPDF) clashed with SS-UF rebels at Ruathlual in Mayom county (Unity state) [coded to Mayom]. A Lieutenant Colonel was captured along with his bodyguards, after surrendering to the government forces, with no injuries or fatalities being reported. Mayom has seen increased rebel activity since former SSPDF commander Maj. Gen. Stephen Buay announced he had joined Paul Malong's SS-UF.",0,1626118832,SSD
8376420,728,SSD7758,7758,3-Jul-21,2021,1,Violence against civilians,Attack,Nuer Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Civilians (South Sudan),Pastoralists (South Sudan); Ruweng Clan Group (South Sudan); Dinka Ethnic Group (South Sudan),7,47,Eastern Africa,South Sudan,Unity,Pariang,Pariang,Pariang,9.9123,29.9814,2,Radio Miraya,National,"On 3 July 2021, suspected Nuer cattle raiders (from an unspecified clan) attacked Magon cattle camp, described as being 10km in an unspecified direction from Pariang town (Pariang county, Unity state), killing one person and wounding another (victims presumed to be Ruweng Dinka). An unspecified number of cattle were stolen, which were recovered the following day.",1,1626118833,SSD
8376456,728,SSD7757,7757,3-Jul-21,2021,1,Riots,Mob violence,Rioters (South Sudan),Lopit Ethnic Group (South Sudan); Vigilante Group (South Sudan),5,Civilians (South Sudan),Lopit Ethnic Group (South Sudan),7,57,Eastern Africa,South Sudan,Eastern Equatoria,Lafon,Imehejek,Mura Lopit,4.7884,32.7289,1,Radio Tamazuj,Regional,"On 3 July 2021, a rainmaker (presumed to be Lopit) was tortured and then buried alive at the village of Mura Lopit (Lafon county, Eastern Equatoria state) by a group (also presumed to be Lopit), after he was accused of withholding the rain whilst making excessive demands of the community. The victim was killed. [size=no report]",1,1626118833,SSD
